X = 0.734
Y = 0.25
Z = 0.016
mu = 0.601142
Radius,Density,Temp,Mass,Lum,OptD,Pres
0,0,0,0,0,0,0
1e-10,200000,2.6e+06,1e-10,1e-10,5.45177e+06,2.29881e+16
50059.3,200000,2.6e+06,1.87748e+20,1.08809e+15,3.20799e+11,2.29881e+16
110059,199999,2.6e+06,1.54675e+21,8.96416e+15,6.47905e+11,2.2988e+16
170059,199998,2.59999e+06,5.2713e+21,3.05494e+16,9.7501e+11,2.29878e+16
230059,199997,2.59998e+06,1.25556e+22,7.27644e+16,1.30211e+12,2.29875e+16
290059,199995,2.59997e+06,2.4594e+22,1.42529e+17,1.62922e+12,2.29872e+16
350059,199993,2.59996e+06,4.25805e+22,2.46761e+17,1.95632e+12,2.29868e+16
410059,199990,2.59995e+06,6.77092e+22,3.92377e+17,2.28342e+12,2.29863e+16
470059,199987,2.59993e+06,1.01174e+23,5.86292e+17,2.61052e+12,2.29857e+16
530059,199983,2.59991e+06,1.44169e+23,8.35419e+17,2.93761e+12,2.2985e+16
590059,199979,2.59989e+06,1.97888e+23,1.14667e+18,3.26471e+12,2.29843e+16
650059,199975,2.59987e+06,2.63524e+23,1.52694e+18,3.5918e+12,2.29835e+16
710059,199970,2.59984e+06,3.4227e+23,1.98315e+18,3.91888e+12,2.29826e+16
770059,199965,2.59981e+06,4.35321e+23,2.52219e+18,4.24597e+12,2.29816e+16
830059,199959,2.59978e+06,5.43868e+23,3.15095e+18,4.57305e+12,2.29806e+16
890059,199953,2.59975e+06,6.69106e+23,3.87633e+18,4.90012e+12,2.29795e+16
950059,199946,2.59972e+06,8.12226e+23,4.70522e+18,5.22719e+12,2.29783e+16
1.01006e+06,199939,2.59968e+06,9.7442e+23,5.6445e+18,5.55426e+12,2.2977e+16
1.07006e+06,199932,2.59964e+06,1.15688e+24,6.70104e+18,5.88132e+12,2.29757e+16
1.13006e+06,199924,2.5996e+06,1.3608e+24,7.88172e+18,6.20837e+12,2.29743e+16
1.19006e+06,199915,2.59956e+06,1.58737e+24,9.1934e+18,6.53543e+12,2.29728e+16
1.25006e+06,199907,2.59952e+06,1.83778e+24,1.06429e+19,6.86247e+12,2.29712e+16
1.31006e+06,199897,2.59947e+06,2.11323e+24,1.22372e+19,7.18951e+12,2.29695e+16
1.37006e+06,199888,2.59942e+06,2.41489e+24,1.3983e+19,7.51654e+12,2.29678e+16
1.43006e+06,199878,2.59937e+06,2.74397e+24,1.58872e+19,7.84356e+12,2.2966e+16
1.49006e+06,199867,2.59931e+06,3.10166e+24,1.79566e+19,8.17058e+12,2.29641e+16
1.55006e+06,199856,2.59926e+06,3.48913e+24,2.01981e+19,8.49759e+12,2.29621e+16
1.61006e+06,199845,2.5992e+06,3.90759e+24,2.26185e+19,8.82459e+12,2.29601e+16
1.67006e+06,199833,2.59914e+06,4.35821e+24,2.52245e+19,9.15159e+12,2.2958e+16
1.73006e+06,199821,2.59907e+06,4.8422e+24,2.8023e+19,9.47858e+12,2.29558e+16
1.79006e+06,199809,2.59901e+06,5.36073e+24,3.10207e+19,9.80555e+12,2.29535e+16
1.85006e+06,199795,2.59894e+06,5.91499e+24,3.42245e+19,1.01325e+13,2.29512e+16
1.91006e+06,199782,2.59887e+06,6.50617e+24,3.76411e+19,1.04595e+13,2.29487e+16
1.97006e+06,199768,2.5988e+06,7.13546e+24,4.12773e+19,1.07864e+13,2.29462e+16
2.03006e+06,199754,2.59873e+06,7.80404e+24,4.51398e+19,1.11134e+13,2.29437e+16
2.09006e+06,199739,2.59865e+06,8.5131e+24,4.92353e+19,1.14403e+13,2.2941e+16
2.15006e+06,199724,2.59857e+06,9.26382e+24,5.35706e+19,1.17672e+13,2.29383e+16
2.21006e+06,199708,2.59849e+06,1.00574e+25,5.81524e+19,1.20941e+13,2.29355e+16
2.27006e+06,199692,2.59841e+06,1.0895e+25,6.29874e+19,1.2421e+13,2.29326e+16
2.33006e+06,199676,2.59833e+06,1.17778e+25,6.80823e+19,1.27479e+13,2.29296e+16
2.39006e+06,199659,2.59824e+06,1.2707e+25,7.34437e+19,1.30748e+13,2.29266e+16
2.45006e+06,199641,2.59815e+06,1.36837e+25,7.90784e+19,1.34017e+13,2.29235e+16
2.51006e+06,199624,2.59806e+06,1.47093e+25,8.4993e+19,1.37285e+13,2.29203e+16
2.57006e+06,199606,2.59797e+06,1.57847e+25,9.11941e+19,1.40554e+13,2.2917e+16
2.63006e+06,199587,2.59787e+06,1.69113e+25,9.76883e+19,1.43822e+13,2.29137e+16
2.69006e+06,199568,2.59777e+06,1.80902e+25,1.04482e+20,1.4709e+13,2.29102e+16
2.75006e+06,199548,2.59767e+06,1.93226e+25,1.11583e+20,1.50358e+13,2.29067e+16
2.81006e+06,199529,2.59757e+06,2.06096e+25,1.18996e+20,1.53626e+13,2.29032e+16
2.87006e+06,199508,2.59747e+06,2.19524e+25,1.26729e+20,1.56894e+13,2.28995e+16
2.93006e+06,199487,2.59736e+06,2.33522e+25,1.34788e+20,1.60161e+13,2.28958e+16
2.99006e+06,199466,2.59725e+06,2.48103e+25,1.43179e+20,1.63429e+13,2.2892e+16
3.05006e+06,199445,2.59714e+06,2.63276e+25,1.5191e+20,1.66696e+13,2.28881e+16
3.11006e+06,199423,2.59703e+06,2.79055e+25,1.60986e+20,1.69963e+13,2.28842e+16
3.17006e+06,199400,2.59691e+06,2.95451e+25,1.70415e+20,1.7323e+13,2.28801e+16
3.23006e+06,199377,2.59679e+06,3.12476e+25,1.80202e+20,1.76497e+13,2.2876e+16
3.29006e+06,199354,2.59667e+06,3.30141e+25,1.90354e+20,1.79763e+13,2.28719e+16
3.35006e+06,199330,2.59655e+06,3.48458e+25,2.00878e+20,1.8303e+13,2.28676e+16
3.41006e+06,199306,2.59643e+06,3.67439e+25,2.11779e+20,1.86296e+13,2.28633e+16
3.47006e+06,199282,2.5963e+06,3.87096e+25,2.23065e+20,1.89563e+13,2.28589e+16
3.53006e+06,199257,2.59617e+06,4.0744e+25,2.34742e+20,1.92829e+13,2.28544e+16
3.59006e+06,199231,2.59604e+06,4.28482e+25,2.46815e+20,1.96094e+13,2.28498e+16
3.65006e+06,199205,2.59591e+06,4.50235e+25,2.59292e+20,1.9936e+13,2.28452e+16
3.71006e+06,199179,2.59577e+06,4.72711e+25,2.72179e+20,2.02626e+13,2.28405e+16
3.77006e+06,199152,2.59564e+06,4.9592e+25,2.85482e+20,2.05891e+13,2.28357e+16
3.83006e+06,199125,2.5955e+06,5.19874e+25,2.99207e+20,2.09156e+13,2.28308e+16
3.89006e+06,199098,2.59535e+06,5.44586e+25,3.13361e+20,2.12421e+13,2.28259e+16
3.95006e+06,199070,2.59521e+06,5.70066e+25,3.2795e+20,2.15686e+13,2.28209e+16
4.01006e+06,199041,2.59506e+06,5.96326e+25,3.4298e+20,2.1895e+13,2.28158e+16
4.07006e+06,199012,2.59492e+06,6.23378e+25,3.58457e+20,2.22214e+13,2.28106e+16
4.13006e+06,198983,2.59476e+06,6.51234e+25,3.74388e+20,2.25479e+13,2.28054e+16
4.19006e+06,198953,2.59461e+06,6.79905e+25,3.90778e+20,2.28743e+13,2.28001e+16
4.24006e+06,198928,2.59446e+06,7.09402e+25,4.07634e+20,2.32006e+13,2.27947e+16
4.30006e+06,198898,2.5943e+06,7.39737e+25,4.24963e+20,2.3527e+13,2.27892e+16
4.36006e+06,198867,2.59414e+06,7.70921e+25,4.42769e+20,2.38533e+13,2.27837e+16
4.42006e+06,198836,2.59398e+06,8.02967e+25,4.61059e+20,2.41796e+13,2.27781e+16
4.48006e+06,198804,2.59382e+06,8.35886e+25,4.7984e+20,2.45059e+13,2.27724e+16
4.54006e+06,198772,2.59365e+06,8.69688e+25,4.99116e+20,2.48322e+13,2.27666e+16
4.60006e+06,198739,2.59348e+06,9.04386e+25,5.18895e+20,2.51584e+13,2.27608e+16
4.66006e+06,198706,2.59331e+06,9.39991e+25,5.39182e+20,2.54846e+13,2.27548e+16
4.72006e+06,198673,2.59314e+06,9.76515e+25,5.59983e+20,2.58108e+13,2.27489e+16
4.78006e+06,198639,2.59297e+06,1.01397e+26,5.81305e+20,2.6137e+13,2.27428e+16
4.84006e+06,198605,2.59279e+06,1.05236e+26,6.03152e+20,2.64631e+13,2.27367e+16
4.90006e+06,198570,2.59261e+06,1.09171e+26,6.25531e+20,2.67893e+13,2.27304e+16
4.96006e+06,198535,2.59243e+06,1.13202e+26,6.48448e+20,2.71154e+13,2.27242e+16
5.02006e+06,198499,2.59225e+06,1.17331e+26,6.71909e+20,2.74414e+13,2.27178e+16
5.08006e+06,198464,2.59206e+06,1.21559e+26,6.95919e+20,2.77675e+13,2.27114e+16
5.14006e+06,198427,2.59187e+06,1.25886e+26,7.20484e+20,2.80935e+13,2.27049e+16
5.20006e+06,198390,2.59168e+06,1.30314e+26,7.4561e+20,2.84195e+13,2.26983e+16
5.26006e+06,198353,2.59149e+06,1.34844e+26,7.71303e+20,2.87455e+13,2.26916e+16
5.32006e+06,198316,2.5913e+06,1.39478e+26,7.97568e+20,2.90715e+13,2.26849e+16
5.38006e+06,198278,2.5911e+06,1.44216e+26,8.24412e+20,2.93974e+13,2.26781e+16
5.44006e+06,198239,2.5909e+06,1.49059e+26,8.51839e+20,2.97233e+13,2.26712e+16
5.50006e+06,198200,2.5907e+06,1.5401e+26,8.79855e+20,3.00491e+13,2.26642e+16
5.56006e+06,198161,2.5905e+06,1.59067e+26,9.08467e+20,3.0375e+13,2.26572e+16
5.62006e+06,198121,2.59029e+06,1.64234e+26,9.37679e+20,3.07008e+13,2.26501e+16
5.68006e+06,198081,2.59009e+06,1.69511e+26,9.67497e+20,3.10266e+13,2.26429e+16
5.74006e+06,198041,2.58988e+06,1.74899e+26,9.97926e+20,3.13524e+13,2.26357e+16
5.80006e+06,198000,2.58967e+06,1.80399e+26,1.02897e+21,3.16781e+13,2.26284e+16
5.86006e+06,197958,2.58945e+06,1.86012e+26,1.06064e+21,3.20038e+13,2.2621e+16
5.92006e+06,197916,2.58924e+06,1.9174e+26,1.09294e+21,3.23295e+13,2.26135e+16
5.98006e+06,197874,2.58902e+06,1.97584e+26,1.12587e+21,3.26551e+13,2.2606e+16
6.04006e+06,197832,2.5888e+06,2.03544e+26,1.15944e+21,3.29807e+13,2.25983e+16
6.10006e+06,197789,2.58858e+06,2.09622e+26,1.19365e+21,3.33063e+13,2.25907e+16
6.16006e+06,197745,2.58835e+06,2.15819e+26,1.22851e+21,3.36319e+13,2.25829e+16
6.22006e+06,197701,2.58813e+06,2.22136e+26,1.26403e+21,3.39574e+13,2.25751e+16
6.28006e+06,197657,2.5879e+06,2.28575e+26,1.30021e+21,3.42829e+13,2.25672e+16
6.34006e+06,197612,2.58767e+06,2.35135e+26,1.33705e+21,3.46083e+13,2.25592e+16
6.40006e+06,197567,2.58743e+06,2.41819e+26,1.37456e+21,3.49338e+13,2.25511e+16
6.46006e+06,197522,2.5872e+06,2.48627e+26,1.41275e+21,3.52592e+13,2.2543e+16
6.52006e+06,197476,2.58696e+06,2.55561e+26,1.45162e+21,3.55846e+13,2.25348e+16
6.58006e+06,197429,2.58672e+06,2.62622e+26,1.49118e+21,3.59099e+13,2.25265e+16
6.64006e+06,197383,2.58648e+06,2.6981e+26,1.53142e+21,3.62352e+13,2.25182e+16
6.70006e+06,197335,2.58623e+06,2.77127e+26,1.57236e+21,3.65605e+13,2.25098e+16
6.76006e+06,197288,2.58599e+06,2.84575e+26,1.614e+21,3.68857e+13,2.25013e+16
6.82006e+06,197240,2.58574e+06,2.92153e+26,1.65635e+21,3.72109e+13,2.24927e+16
6.88006e+06,197191,2.58549e+06,2.99863e+26,1.69941e+21,3.75361e+13,2.24841e+16
6.94006e+06,197143,2.58524e+06,3.07707e+26,1.74318e+21,3.78612e+13,2.24754e+16
7.00006e+06,197093,2.58498e+06,3.15685e+26,1.78768e+21,3.81863e+13,2.24666e+16
7.06006e+06,197044,2.58473e+06,3.23798e+26,1.8329e+21,3.85114e+13,2.24578e+16
7.12006e+06,196994,2.58447e+06,3.32048e+26,1.87885e+21,3.88364e+13,2.24489e+16
7.18006e+06,196943,2.58421e+06,3.40436e+26,1.92553e+21,3.91614e+13,2.24399e+16
7.24006e+06,196892,2.58394e+06,3.48962e+26,1.97295e+21,3.94864e+13,2.24308e+16
7.30006e+06,196841,2.58368e+06,3.57628e+26,2.02112e+21,3.98113e+13,2.24217e+16
7.36006e+06,196789,2.58341e+06,3.66434e+26,2.07004e+21,4.01362e+13,2.24125e+16
7.42006e+06,196737,2.58314e+06,3.75383e+26,2.11971e+21,4.04611e+13,2.24032e+16
7.48006e+06,196685,2.58287e+06,3.84474e+26,2.17014e+21,4.07859e+13,2.23939e+16
7.54006e+06,196632,2.58259e+06,3.9371e+26,2.22133e+21,4.11107e+13,2.23845e+16
7.60006e+06,196578,2.58232e+06,4.0309e+26,2.27329e+21,4.14354e+13,2.2375e+16
7.66006e+06,196525,2.58204e+06,4.12617e+26,2.32602e+21,4.17601e+13,2.23654e+16
7.72006e+06,196470,2.58176e+06,4.22291e+26,2.37952e+21,4.20848e+13,2.23558e+16
7.78006e+06,196416,2.58148e+06,4.32114e+26,2.43381e+21,4.24094e+13,2.23461e+16
7.84006e+06,196361,2.58119e+06,4.42085e+26,2.48888e+21,4.2734e+13,2.23363e+16
7.90006e+06,196306,2.5809e+06,4.52207e+26,2.54475e+21,4.30586e+13,2.23265e+16
7.96006e+06,196250,2.58062e+06,4.62481e+26,2.6014e+21,4.33831e+13,2.23166e+16
8.02006e+06,196194,2.58032e+06,4.72907e+26,2.65885e+21,4.37076e+13,2.23066e+16
8.08006e+06,196137,2.58003e+06,4.83487e+26,2.71711e+21,4.4032e+13,2.22965e+16
8.14006e+06,196080,2.57974e+06,4.94221e+26,2.77617e+21,4.43564e+13,2.22864e+16
8.20006e+06,196023,2.57944e+06,5.05111e+26,2.83604e+21,4.46808e+13,2.22762e+16
8.26006e+06,195965,2.57914e+06,5.16158e+26,2.89673e+21,4.50051e+13,2.2266e+16
8.32006e+06,195907,2.57884e+06,5.27362e+26,2.95823e+21,4.53294e+13,2.22557e+16
8.38006e+06,195848,2.57853e+06,5.38726e+26,3.02056e+21,4.56536e+13,2.22453e+16
8.44006e+06,195789,2.57823e+06,5.50249e+26,3.08372e+21,4.59778e+13,2.22348e+16
8.50006e+06,195730,2.57792e+06,5.61933e+26,3.1477e+21,4.63019e+13,2.22243e+16
8.56006e+06,195670,2.57761e+06,5.73779e+26,3.21252e+21,4.66261e+13,2.22136e+16
8.62006e+06,195610,2.5773e+06,5.85788e+26,3.27818e+21,4.69501e+13,2.2203e+16
8.68006e+06,195549,2.57698e+06,5.97961e+26,3.34468e+21,4.72742e+13,2.21922e+16
8.74006e+06,195488,2.57666e+06,6.10299e+26,3.41203e+21,4.75981e+13,2.21814e+16
8.80006e+06,195427,2.57634e+06,6.22803e+26,3.48023e+21,4.79221e+13,2.21705e+16
8.86006e+06,195365,2.57602e+06,6.35474e+26,3.54928e+21,4.8246e+13,2.21596e+16
8.92006e+06,195303,2.5757e+06,6.48313e+26,3.61919e+21,4.85698e+13,2.21486e+16
8.98006e+06,195240,2.57538e+06,6.61321e+26,3.68996e+21,4.88936e+13,2.21375e+16
9.04006e+06,195177,2.57505e+06,6.74499e+26,3.76159e+21,4.92174e+13,2.21263e+16
9.10006e+06,195114,2.57472e+06,6.87849e+26,3.8341e+21,4.95411e+13,2.21151e+16
9.16006e+06,195050,2.57439e+06,7.01371e+26,3.90747e+21,4.98648e+13,2.21038e+16
9.22006e+06,194986,2.57405e+06,7.15066e+26,3.98173e+21,5.01884e+13,2.20924e+16
9.28006e+06,194921,2.57372e+06,7.28935e+26,4.05686e+21,5.0512e+13,2.2081e+16
9.34006e+06,194856,2.57338e+06,7.42979e+26,4.13287e+21,5.08356e+13,2.20695e+16
9.40006e+06,194791,2.57304e+06,7.57199e+26,4.20977e+21,5.11591e+13,2.2058e+16
9.46006e+06,194725,2.5727e+06,7.71597e+26,4.28755e+21,5.14825e+13,2.20463e+16
9.52006e+06,194659,2.57235e+06,7.86173e+26,4.36623e+21,5.18059e+13,2.20346e+16
9.58006e+06,194592,2.57201e+06,8.00928e+26,4.44581e+21,5.21293e+13,2.20229e+16
9.64006e+06,194525,2.57166e+06,8.15863e+26,4.52628e+21,5.24526e+13,2.2011e+16
9.70006e+06,194458,2.57131e+06,8.30979e+26,4.60766e+21,5.27759e+13,2.19991e+16
9.76006e+06,194390,2.57096e+06,8.46278e+26,4.68994e+21,5.30991e+13,2.19872e+16
9.82006e+06,194322,2.5706e+06,8.6176e+26,4.77313e+21,5.34222e+13,2.19751e+16
9.88006e+06,194253,2.57024e+06,8.77426e+26,4.85723e+21,5.37454e+13,2.1963e+16
9.94006e+06,194184,2.56988e+06,8.93276e+26,4.94225e+21,5.40684e+13,2.19509e+16
1.00001e+07,194115,2.56952e+06,9.09314e+26,5.02819e+21,5.43915e+13,2.19386e+16
1.00601e+07,194045,2.56916e+06,9.25538e+26,5.11504e+21,5.47144e+13,2.19264e+16
1.01201e+07,193975,2.56879e+06,9.4195e+26,5.20282e+21,5.50373e+13,2.1914e+16
1.01801e+07,193905,2.56843e+06,9.58551e+26,5.29152e+21,5.53602e+13,2.19016e+16
1.02401e+07,193834,2.56806e+06,9.75342e+26,5.38116e+21,5.5683e+13,2.18891e+16
1.03001e+07,193763,2.56769e+06,9.92325e+26,5.47172e+21,5.60058e+13,2.18765e+16
1.03601e+07,193691,2.56731e+06,1.0095e+27,5.56322e+21,5.63285e+13,2.18639e+16
1.04201e+07,193619,2.56694e+06,1.02687e+27,5.65566e+21,5.66512e+13,2.18512e+16
1.04801e+07,193547,2.56656e+06,1.04443e+27,5.74903e+21,5.69738e+13,2.18384e+16
1.05401e+07,193474,2.56618e+06,1.06218e+27,5.84335e+21,5.72964e+13,2.18256e+16
1.06001e+07,193400,2.5658e+06,1.08013e+27,5.93862e+21,5.76189e+13,2.18127e+16
1.06601e+07,193327,2.56541e+06,1.09828e+27,6.03483e+21,5.79414e+13,2.17998e+16
1.07201e+07,193253,2.56503e+06,1.11663e+27,6.13199e+21,5.82638e+13,2.17867e+16
1.07801e+07,193179,2.56464e+06,1.13517e+27,6.23011e+21,5.85862e+13,2.17737e+16
1.08401e+07,193104,2.56425e+06,1.15392e+27,6.32918e+21,5.89085e+13,2.17605e+16
1.09001e+07,193029,2.56386e+06,1.17286e+27,6.42921e+21,5.92307e+13,2.17473e+16
1.09601e+07,192953,2.56346e+06,1.19201e+27,6.5302e+21,5.95529e+13,2.1734e+16
1.10201e+07,192877,2.56306e+06,1.21135e+27,6.63215e+21,5.98751e+13,2.17207e+16
1.10801e+07,192801,2.56267e+06,1.23091e+27,6.73506e+21,6.01972e+13,2.17073e+16
1.11401e+07,192724,2.56226e+06,1.25066e+27,6.83894e+21,6.05192e+13,2.16938e+16
1.12001e+07,192647,2.56186e+06,1.27062e+27,6.94379e+21,6.08412e+13,2.16803e+16
1.12601e+07,192570,2.56146e+06,1.29079e+27,7.04961e+21,6.11631e+13,2.16667e+16
1.13201e+07,192492,2.56105e+06,1.31116e+27,7.1564e+21,6.1485e+13,2.1653e+16
1.13801e+07,192414,2.56064e+06,1.33175e+27,7.26417e+21,6.18068e+13,2.16393e+16
1.14401e+07,192335,2.56023e+06,1.35254e+27,7.37291e+21,6.21286e+13,2.16255e+16
1.15001e+07,192256,2.55982e+06,1.37354e+27,7.48264e+21,6.24503e+13,2.16116e+16
1.15601e+07,192177,2.5594e+06,1.39475e+27,7.59334e+21,6.27719e+13,2.15977e+16
1.16201e+07,192097,2.55898e+06,1.41617e+27,7.70503e+21,6.30935e+13,2.15838e+16
1.16801e+07,192017,2.55856e+06,1.43781e+27,7.8177e+21,6.34151e+13,2.15697e+16
1.17401e+07,191937,2.55814e+06,1.45965e+27,7.93135e+21,6.37365e+13,2.15556e+16
1.18001e+07,191856,2.55772e+06,1.48172e+27,8.046e+21,6.4058e+13,2.15415e+16
1.18601e+07,191775,2.55729e+06,1.504e+27,8.16163e+21,6.43793e+13,2.15272e+16
1.19201e+07,191693,2.55687e+06,1.52649e+27,8.27826e+21,6.47006e+13,2.15129e+16
1.19801e+07,191611,2.55644e+06,1.5492e+27,8.39587e+21,6.50219e+13,2.14986e+16
1.20401e+07,191529,2.556e+06,1.57213e+27,8.51449e+21,6.53431e+13,2.14842e+16
1.21001e+07,191446,2.55557e+06,1.59528e+27,8.63409e+21,6.56642e+13,2.14697e+16
1.21601e+07,191363,2.55513e+06,1.61865e+27,8.7547e+21,6.59853e+13,2.14552e+16
1.22201e+07,191280,2.5547e+06,1.64223e+27,8.8763e+21,6.63063e+13,2.14406e+16
1.22801e+07,191196,2.55426e+06,1.66604e+27,8.99891e+21,6.66272e+13,2.14259e+16
1.23401e+07,191112,2.55381e+06,1.69007e+27,9.12251e+21,6.69481e+13,2.14112e+16
1.24001e+07,191027,2.55337e+06,1.71433e+27,9.24712e+21,6.7269e+13,2.13964e+16
1.24601e+07,190942,2.55292e+06,1.73881e+27,9.37274e+21,6.75897e+13,2.13816e+16
1.25201e+07,190857,2.55248e+06,1.76351e+27,9.49935e+21,6.79105e+13,2.13667e+16
1.25801e+07,190771,2.55203e+06,1.78844e+27,9.62698e+21,6.82311e+13,2.13517e+16
1.26401e+07,190685,2.55157e+06,1.8136e+27,9.75561e+21,6.85517e+13,2.13367e+16
1.27001e+07,190599,2.55112e+06,1.83898e+27,9.88525e+21,6.88722e+13,2.13216e+16
1.27601e+07,190512,2.55066e+06,1.86459e+27,1.00159e+22,6.91927e+13,2.13065e+16
1.28201e+07,190425,2.5502e+06,1.89043e+27,1.01476e+22,6.95131e+13,2.12913e+16
1.28801e+07,190337,2.54974e+06,1.9165e+27,1.02802e+22,6.98334e+13,2.1276e+16
1.29401e+07,190249,2.54928e+06,1.9428e+27,1.04139e+22,7.01537e+13,2.12607e+16
1.30001e+07,190161,2.54882e+06,1.96934e+27,1.05486e+22,7.04739e+13,2.12453e+16
1.30601e+07,190072,2.54835e+06,1.9961e+27,1.06843e+22,7.07941e+13,2.12299e+16
1.31201e+07,189983,2.54788e+06,2.0231e+27,1.08211e+22,7.11141e+13,2.12144e+16
1.31801e+07,189894,2.54741e+06,2.05033e+27,1.09588e+22,7.14342e+13,2.11988e+16
1.32401e+07,189804,2.54694e+06,2.0778e+27,1.10976e+22,7.17541e+13,2.11832e+16
1.33001e+07,189714,2.54646e+06,2.10551e+27,1.12373e+22,7.2074e+13,2.11675e+16
1.33601e+07,189624,2.54599e+06,2.13345e+27,1.13781e+22,7.23938e+13,2.11518e+16
1.34201e+07,189533,2.54551e+06,2.16162e+27,1.15199e+22,7.27136e+13,2.1136e+16
1.34801e+07,189442,2.54503e+06,2.19004e+27,1.16628e+22,7.30333e+13,2.11201e+16
1.35401e+07,189350,2.54454e+06,2.2187e+27,1.18066e+22,7.33529e+13,2.11042e+16
1.36001e+07,189258,2.54406e+06,2.24759e+27,1.19515e+22,7.36725e+13,2.10883e+16
1.36601e+07,189166,2.54357e+06,2.27673e+27,1.20974e+22,7.3992e+13,2.10722e+16
1.37201e+07,189074,2.54308e+06,2.30611e+27,1.22443e+22,7.43114e+13,2.10562e+16
1.37801e+07,188981,2.54259e+06,2.33573e+27,1.23922e+22,7.46308e+13,2.104e+16
1.38401e+07,188887,2.5421e+06,2.36559e+27,1.25412e+22,7.49501e+13,2.10238e+16
1.39001e+07,188794,2.54161e+06,2.3957e+27,1.26912e+22,7.52693e+13,2.10076e+16
1.39601e+07,188700,2.54111e+06,2.42605e+27,1.28421e+22,7.55885e+13,2.09913e+16
1.40201e+07,188605,2.54061e+06,2.45664e+27,1.29942e+22,7.59076e+13,2.09749e+16
1.40801e+07,188511,2.54011e+06,2.48749e+27,1.31472e+22,7.62266e+13,2.09585e+16
1.41401e+07,188415,2.53961e+06,2.51858e+27,1.33013e+22,7.65456e+13,2.0942e+16
1.42001e+07,188320,2.5391e+06,2.54992e+27,1.34563e+22,7.68644e+13,2.09255e+16
1.42601e+07,188224,2.53859e+06,2.5815e+27,1.36124e+22,7.71833e+13,2.09089e+16
1.43201e+07,188128,2.53809e+06,2.61334e+27,1.37696e+22,7.7502e+13,2.08922e+16
1.43801e+07,188032,2.53757e+06,2.64543e+27,1.39277e+22,7.78207e+13,2.08755e+16
1.44401e+07,187935,2.53706e+06,2.67776e+27,1.40869e+22,7.81393e+13,2.08587e+16
1.45001e+07,187837,2.53655e+06,2.71035e+27,1.42471e+22,7.84578e+13,2.08419e+16
1.45601e+07,187740,2.53603e+06,2.74319e+27,1.44083e+22,7.87763e+13,2.08251e+16
1.46201e+07,187642,2.53551e+06,2.77629e+27,1.45705e+22,7.90947e+13,2.08081e+16
1.46801e+07,187544,2.53499e+06,2.80964e+27,1.47338e+22,7.9413e+13,2.07911e+16
1.47401e+07,187445,2.53447e+06,2.84324e+27,1.4898e+22,7.97313e+13,2.07741e+16
1.48001e+07,187346,2.53394e+06,2.8771e+27,1.50633e+22,8.00495e+13,2.0757e+16
1.48601e+07,187247,2.53342e+06,2.91121e+27,1.52296e+22,8.03676e+13,2.07399e+16
1.49201e+07,187147,2.53289e+06,2.94558e+27,1.5397e+22,8.06856e+13,2.07227e+16
1.49801e+07,187047,2.53236e+06,2.98021e+27,1.55653e+22,8.10036e+13,2.07054e+16
1.50401e+07,186947,2.53182e+06,3.0151e+27,1.57347e+22,8.13215e+13,2.06881e+16
1.51001e+07,186846,2.53129e+06,3.05025e+27,1.59051e+22,8.16393e+13,2.06707e+16
1.51601e+07,186745,2.53075e+06,3.08565e+27,1.60765e+22,8.1957e+13,2.06533e+16
1.52201e+07,186644,2.53021e+06,3.12132e+27,1.62489e+22,8.22747e+13,2.06359e+16
1.52801e+07,186542,2.52967e+06,3.15725e+27,1.64223e+22,8.25923e+13,2.06183e+16
1.53401e+07,186440,2.52913e+06,3.19344e+27,1.65968e+22,8.29098e+13,2.06008e+16
1.54001e+07,186338,2.52859e+06,3.22989e+27,1.67722e+22,8.32273e+13,2.05831e+16
1.54601e+07,186235,2.52804e+06,3.26661e+27,1.69487e+22,8.35447e+13,2.05654e+16
1.55201e+07,186132,2.52749e+06,3.30359e+27,1.71262e+22,8.3862e+13,2.05477e+16
1.55801e+07,186029,2.52694e+06,3.34084e+27,1.73046e+22,8.41792e+13,2.05299e+16
1.56401e+07,185925,2.52639e+06,3.37835e+27,1.74841e+22,8.44963e+13,2.05121e+16
1.57001e+07,185821,2.52583e+06,3.41612e+27,1.76647e+22,8.48134e+13,2.04942e+16
1.57601e+07,185716,2.52528e+06,3.45417e+27,1.78462e+22,8.51304e+13,2.04762e+16
1.58201e+07,185612,2.52472e+06,3.49248e+27,1.80287e+22,8.54473e+13,2.04583e+16
1.58801e+07,185507,2.52416e+06,3.53106e+27,1.82122e+22,8.57642e+13,2.04402e+16
1.59401e+07,185401,2.5236e+06,3.56991e+27,1.83968e+22,8.60809e+13,2.04221e+16
1.60001e+07,185295,2.52303e+06,3.60902e+27,1.85823e+22,8.63976e+13,2.0404e+16
1.60601e+07,185189,2.52247e+06,3.64841e+27,1.87688e+22,8.67142e+13,2.03858e+16
1.61201e+07,185083,2.5219e+06,3.68807e+27,1.89564e+22,8.70307e+13,2.03675e+16
1.61801e+07,184976,2.52133e+06,3.728e+27,1.91449e+22,8.73472e+13,2.03492e+16
1.62401e+07,184869,2.52076e+06,3.76821e+27,1.93344e+22,8.76636e+13,2.03308e+16
1.63001e+07,184762,2.52018e+06,3.80868e+27,1.9525e+22,8.79799e+13,2.03124e+16
1.63601e+07,184654,2.51961e+06,3.84943e+27,1.97165e+22,8.82961e+13,2.0294e+16
